commander_name,recommended_creature_name,synergy_percentage
The Ur-Dragon,Hellkite Charger,0.23
The Ur-Dragon,Wrathful Red Dragon,0.2
The Ur-Dragon,Scourge of the Throne,0.2
The Ur-Dragon,"Teneb, the Harvester",0.18
The Ur-Dragon,Zurgo and Ojutai,0.18
The Ur-Dragon,"Ojutai, Soul of Winter",0.18
The Ur-Dragon,"Kolaghan, the Storm's Fury",0.17
The Ur-Dragon,"Dromoka, the Eternal",0.16
The Ur-Dragon,Steel Hellkite,0.16
The Ur-Dragon,"Betor, Kin to All",0.14
The Ur-Dragon,"Karrthus, Tyrant of Jund",0.15
The Ur-Dragon,Scaled Nurturer,0.16
The Ur-Dragon,"Lozhan, Dragons' Legacy",0.15
The Ur-Dragon,Dragonlord Ojutai,0.15
The Ur-Dragon,Earthquake Dragon,0.15
The Ur-Dragon,Dragonlord Silumgar,0.14
The Ur-Dragon,Ancient Bronze Dragon,0.13
The Ur-Dragon,Cavern-Hoard Dragon,0.14
The Ur-Dragon,Broodcaller Scourge,0.13
The Ur-Dragon,Dragonlord Kolaghan,0.13
The Ur-Dragon,Sunscorch Regent,0.13
The Ur-Dragon,"Drakuseth, Maw of Flames",0.13
The Ur-Dragon,Dragonmaster Outcast,0.13
"Atraxa, Praetors' Voice","Tekuthal, Inquiry Dominus",0.25
"Atraxa, Praetors' Voice",Evolution Sage,0.23
"Atraxa, Praetors' Voice","Ezuri, Stalker of Spheres",0.21
"Atraxa, Praetors' Voice",Thrummingbird,0.19
"Atraxa, Praetors' Voice",Flux Channeler,0.16
"Atraxa, Praetors' Voice","Vorinclex, Monstrous Raider",0.16
"Atraxa, Praetors' Voice",Cankerbloom,0.12
"Atraxa, Praetors' Voice",Bloated Contaminator,0.13
"Atraxa, Praetors' Voice",Venerated Rotpriest,0.12
"Atraxa, Praetors' Voice",Ichor Rats,0.13
"Atraxa, Praetors' Voice",Dreamtide Whale,0.13
"Atraxa, Praetors' Voice",Deepglow Skate,0.12
"Atraxa, Praetors' Voice","Ixhel, Scion of Atraxa",0.11
"Atraxa, Praetors' Voice","Skrelv, Defector Mite",0.1
"Atraxa, Praetors' Voice",Blighted Agent,0.11
"Atraxa, Praetors' Voice",Contaminant Grafter,0.1
"Atraxa, Praetors' Voice",Metastatic Evangel,0.11
"Atraxa, Praetors' Voice",Voidwing Hybrid,0.1
"Atraxa, Praetors' Voice","Skithiryx, the Blight Dragon",0.1
Edgar Markov,Cordial Vampire,0.72
Edgar Markov,Captivating Vampire,0.71
Edgar Markov,Stromkirk Captain,0.68
Edgar Markov,Blood Artist,0.65
Edgar Markov,Indulgent Aristocrat,0.62
Edgar Markov,Legion Lieutenant,0.61
Edgar Markov,Sanctum Seeker,0.6
Edgar Markov,Welcoming Vampire,0.59
Edgar Markov,"Vito, Thorn of the Dusk Rose",0.54
Edgar Markov,Cruel Celebrant,0.49
Edgar Markov,"Elenda, the Dusk Rose",0.51
Edgar Markov,Master of Dark Rites,0.51
Edgar Markov,"Drana, Liberator of Malakir",0.48
Edgar Markov,Malakir Bloodwitch,0.49
Edgar Markov,Charismatic Conqueror,0.45
Edgar Markov,"Clavileño, First of the Blessed",0.44
Edgar Markov,Markov Baron,0.43
Edgar Markov,Twilight Prophet,0.41
Edgar Markov,Vampire of the Dire Moon,0.41
Edgar Markov,Bloodthirsty Conqueror,0.39
Edgar Markov,"Mavren Fein, Dusk Apostle",0.4
Edgar Markov,Viscera Seer,0.34
Edgar Markov,Champion of Dusk,0.4
Edgar Markov,Vampire Socialite,0.39
Edgar Markov,Patron of the Vein,0.36
Edgar Markov,"Yahenni, Undying Partisan",0.33
Edgar Markov,Bloodletter of Aclazotz,0.3
Edgar Markov,Forerunner of the Legion,0.33
Edgar Markov,Rakish Heir,0.32
Edgar Markov,Vampire Nighthawk,0.3
Edgar Markov,Knight of the Ebon Legion,0.29
Edgar Markov,"Anowon, the Ruin Sage",0.27
Edgar Markov,Vengeful Bloodwitch,0.25
Edgar Markov,Crossway Troublemakers,0.24
Edgar Markov,Butcher of Malakir,0.23
Edgar Markov,Olivia Voldaren,0.24
Edgar Markov,Baron Bertram Graywater,0.22
Edgar Markov,Ruthless Lawbringer,0.2
Edgar Markov,Drana and Linvala,0.15
Edgar Markov,"Florian, Voldaren Scion",0.2
Edgar Markov,"Olivia, Crimson Bride",0.19
Edgar Markov,Nighthawk Scavenger,0.18
Edgar Markov,Falkenrath Pit Fighter,0.2
Edgar Markov,Bartolomé del Presidio,0.18
Edgar Markov,Vampire Gourmand,0.18
Edgar Markov,Gifted Aetherborn,0.18
Edgar Markov,Vein Ripper,0.17
Edgar Markov,Dusk Legion Zealot,0.17
Edgar Markov,Falkenrath Noble,0.17
Edgar Markov,Vampire Nocturnus,0.17
Edgar Markov,Preacher of the Schism,0.16
Edgar Markov,Oathsworn Vampire,0.17
Edgar Markov,Qarsi Revenant,0.16
Edgar Markov,Elenda's Hierophant,0.16
Edgar Markov,Creeping Bloodsucker,0.15
Edgar Markov,Marauding Blight-Priest,0.15
Edgar Markov,Roaming Throne,0.1
Edgar Markov,Shadow Alley Denizen,0.15
Edgar Markov,"Carmen, Cruel Skymarcher",0.12
Edgar Markov,Bloodghast,0.14
Edgar Markov,Dusk Legion Duelist,0.14
Edgar Markov,Nullpriest of Oblivion,0.14
Edgar Markov,Bloodline Necromancer,0.14
Edgar Markov,Vampire Cutthroat,0.13
Edgar Markov,Bloodlord of Vaasgoth,0.13
"Krenko, Mob Boss",Goblin Warchief,0.72
"Krenko, Mob Boss",Skirk Prospector,0.67
"Krenko, Mob Boss",Goblin Matron,0.66
"Krenko, Mob Boss",Goblin Chieftain,0.65
"Krenko, Mob Boss",Pashalik Mons,0.57
"Krenko, Mob Boss",Hobgoblin Bandit Lord,0.55
"Krenko, Mob Boss",Goblin King,0.54
"Krenko, Mob Boss","Krenko, Tin Street Kingpin",0.51
"Krenko, Mob Boss",Siege-Gang Commander,0.51
"Krenko, Mob Boss",Goblin Trashmaster,0.53
"Krenko, Mob Boss",Conspicuous Snoop,0.5
"Krenko, Mob Boss",Goblin Chirurgeon,0.48
"Krenko, Mob Boss",Goblin Recruiter,0.47
"Krenko, Mob Boss",Goblin Ringleader,0.46
"Krenko, Mob Boss","Muxus, Goblin Grandee",0.42
"Krenko, Mob Boss",Goblin Instigator,0.36
"Krenko, Mob Boss",Rundvelt Hordemaster,0.38
"Krenko, Mob Boss","Purphoros, God of the Forge",0.31
"Krenko, Mob Boss",Legion Warboss,0.33
"Krenko, Mob Boss",Warren Instigator,0.36
"Krenko, Mob Boss",Beetleback Chief,0.3
"Krenko, Mob Boss","Kiki-Jiki, Mirror Breaker",0.28
"Krenko, Mob Boss",Battle Cry Goblin,0.32
"Krenko, Mob Boss",Mogg War Marshal,0.28
"Krenko, Mob Boss",Goblin Piledriver,0.32
"Krenko, Mob Boss","General Kreat, the Boltbringer",0.29
"Krenko, Mob Boss",Goblin Lackey,0.31
"Krenko, Mob Boss",Gempalm Incinerator,0.31
"Krenko, Mob Boss",Howlsquad Heavy,0.28
"Krenko, Mob Boss","Goro-Goro, Disciple of Ryusei",0.29
"Krenko, Mob Boss",Treasure Nabber,0.2
"Krenko, Mob Boss",Moria Marauder,0.24
"Krenko, Mob Boss",Searslicer Goblin,0.21
"Krenko, Mob Boss","Squee, Dubious Monarch",0.22
"Krenko, Mob Boss",Goblin Motivator,0.23
"Krenko, Mob Boss","Grenzo, Havoc Raiser",0.2
"Krenko, Mob Boss",Volley Veteran,0.22
"Krenko, Mob Boss",Goblin Lookout,0.22
"Krenko, Mob Boss","Marvin, Murderous Mimic",0.21
"Krenko, Mob Boss",Goblin Wardriver,0.21
"Krenko, Mob Boss",Siege-Gang Lieutenant,0.18
"Krenko, Mob Boss",Dark-Dweller Oracle,0.2
"Krenko, Mob Boss",Goblin Sharpshooter,0.19
"Krenko, Mob Boss",Legion Loyalist,0.19
"Krenko, Mob Boss",Battle Squadron,0.2
"Krenko, Mob Boss",Torch Courier,0.19
"Krenko, Mob Boss",Foundry Street Denizen,0.18
"Krenko, Mob Boss",Goblin Rabblemaster,0.16
"Krenko, Mob Boss",Witty Roastmaster,0.1
"Krenko, Mob Boss",Goblin Cratermaker,0.15
"Krenko, Mob Boss",Moggcatcher,0.16
"Krenko, Mob Boss",Goblin Bushwhacker,0.15
"Krenko, Mob Boss",Goblin Chainwhirler,0.11
"Krenko, Mob Boss","Squee, the Immortal",0.13
"Krenko, Mob Boss",Goblin Sledder,0.13
"Krenko, Mob Boss",Bloodmark Mentor,0.12
"Krenko, Mob Boss",Rummaging Goblin,0.12
"Krenko, Mob Boss",Reckless One,0.13
"Krenko, Mob Boss",Reckless Lackey,0.11
"Sauron, the Dark Lord","Saruman, the White Hand",0.58
"Sauron, the Dark Lord",Witch-king of Angmar,0.48
"Sauron, the Dark Lord","Sauron, Lord of the Rings",0.47
"Sauron, the Dark Lord","Mauhúr, Uruk-hai Captain",0.47
"Sauron, the Dark Lord",Nazgûl,0.45
"Sauron, the Dark Lord",Orcish Siegemaster,0.42
"Sauron, the Dark Lord",Lord of the Nazgûl,0.37
"Sauron, the Dark Lord",Anger,0.32
"Sauron, the Dark Lord",Orcish Bowmasters,0.41
"Sauron, the Dark Lord",Notion Thief,0.14
"Sauron, the Dark Lord","Grishnákh, Brash Instigator",0.35
"Sauron, the Dark Lord","Gothmog, Morgul Lieutenant",0.34
"Sauron, the Dark Lord",Corsairs of Umbar,0.33
"Sauron, the Dark Lord",The Mouth of Sauron,0.32
"Sauron, the Dark Lord",Moria Scavenger,0.31
"Sauron, the Dark Lord",Warg Rider,0.31
"Sauron, the Dark Lord","Sauron, the Necromancer",0.29
"Sauron, the Dark Lord",The Balrog of Moria,0.25
"Sauron, the Dark Lord","Gollum, Patient Plotter",0.26
"Sauron, the Dark Lord",Saruman the White,0.23
"Sauron, the Dark Lord","Bilbo, Retired Burglar",0.23
"Sauron, the Dark Lord",Cavern-Hoard Dragon,0.19
"Sauron, the Dark Lord",Archfiend of Ifnir,0.19
"Sauron, the Dark Lord","Gríma, Saruman's Footman",0.15
"Sauron, the Dark Lord",Dunland Crebain,0.17
"Sauron, the Dark Lord",Wonder,0.16
"Sauron, the Dark Lord",Ringwraiths,0.17
"Sauron, the Dark Lord",Treasure Nabber,0.14
"Sauron, the Dark Lord",Lazotep Chancellor,0.17
"Sauron, the Dark Lord",Uglúk of the White Hand,0.16
"Sauron, the Dark Lord",Mirkwood Bats,0.14
"Sauron, the Dark Lord","Witch-king, Sky Scourge",0.16
"Sauron, the Dark Lord","Witch-king, Bringer of Ruin",0.13
"Sauron, the Dark Lord",Gleaming Overseer,0.12
"Sauron, the Dark Lord",Scourge of the Throne,0.11
"Sauron, the Dark Lord",Troll of Khazad-dûm,0.11
"Sauron, the Dark Lord","Sauron, the Lidless Eye",0.11
"Sauron, the Dark Lord","The Balrog, Durin's Bane",0.1
"Sauron, the Dark Lord",Gríma Wormtongue,0.1
"Sauron, the Dark Lord",Gorbag of Minas Morgul,0.1
"Sauron, the Dark Lord","Gandalf, Friend of the Shire",0.1
Kaalia of the Vast,"Gisela, Blade of Goldnight",0.65
Kaalia of the Vast,Rune-Scarred Demon,0.61
Kaalia of the Vast,"Avacyn, Angel of Hope",0.57
Kaalia of the Vast,"Aurelia, the Warleader",0.56
Kaalia of the Vast,"Sephara, Sky's Blade",0.54
Kaalia of the Vast,"Liesa, Forgotten Archangel",0.51
Kaalia of the Vast,Master of Cruelties,0.51
Kaalia of the Vast,"Kaalia, Zenith Seeker",0.46
Kaalia of the Vast,Balefire Dragon,0.44
Kaalia of the Vast,"Vilis, Broker of Blood",0.44
Kaalia of the Vast,Angel of Despair,0.41
Kaalia of the Vast,Lord of the Void,0.41
Kaalia of the Vast,Reya Dawnbringer,0.41
Kaalia of the Vast,"Isshin, Two Heavens as One",0.31
Kaalia of the Vast,Serra's Emissary,0.37
Kaalia of the Vast,Drana and Linvala,0.31
Kaalia of the Vast,Mother of Runes,0.32
Kaalia of the Vast,"Rakdos, Patron of Chaos",0.34
Kaalia of the Vast,Terror of the Peaks,0.34
Kaalia of the Vast,Hellkite Tyrant,0.33
Kaalia of the Vast,Angel of Serenity,0.33
Kaalia of the Vast,Angelic Arbiter,0.31
Kaalia of the Vast,Archfiend of Depravity,0.29
Kaalia of the Vast,"Valgavoth, Terror Eater",0.28
Kaalia of the Vast,"Razaketh, the Foulblooded",0.28
Kaalia of the Vast,Ancient Copper Dragon,0.23
Kaalia of the Vast,Archfiend of Despair,0.27
Kaalia of the Vast,Grand Abolisher,0.19
Kaalia of the Vast,"Drakuseth, Maw of Flames",0.23
Kaalia of the Vast,Bloodthirster,0.24
Kaalia of the Vast,"Akroma, Angel of Wrath",0.24
Kaalia of the Vast,Ancient Brass Dragon,0.2
Kaalia of the Vast,"Aurelia, the Law Above",0.17
Kaalia of the Vast,Bloodgift Demon,0.22
Kaalia of the Vast,Twinflame Tyrant,0.21
Kaalia of the Vast,Lyra Dawnbringer,0.22
Kaalia of the Vast,Bloodletter of Aclazotz,0.16
Kaalia of the Vast,Blast-Furnace Hellkite,0.21
Kaalia of the Vast,"Neriv, Heart of the Storm",0.15
Kaalia of the Vast,Sower of Discord,0.2
Kaalia of the Vast,"Ob Nixilis, Unshackled",0.2
Kaalia of the Vast,"Tariel, Reckoner of Souls",0.2
Kaalia of the Vast,Burning-Rune Demon,0.2
Kaalia of the Vast,Harvester of Souls,0.17
Kaalia of the Vast,"Giada, Font of Hope",0.18
Kaalia of the Vast,Aegis Angel,0.18
Kaalia of the Vast,Ancient Gold Dragon,0.15
Kaalia of the Vast,Herald of Eternal Dawn,0.18
Kaalia of the Vast,Platinum Angel,0.17
Kaalia of the Vast,Steel Hellkite,0.16
Kaalia of the Vast,Hoarding Broodlord,0.15
Kaalia of the Vast,Giver of Runes,0.15
Kaalia of the Vast,Karmic Guide,0.12
Kaalia of the Vast,Demonlord Belzenlok,0.15
Kaalia of the Vast,Firemane Commando,0.12
Kaalia of the Vast,Utvara Hellkite,0.15
Kaalia of the Vast,Scourge of the Throne,0.14
Kaalia of the Vast,"Shilgengar, Sire of Famine",0.14
Kaalia of the Vast,"Akroma, Angel of Fury",0.14
Kaalia of the Vast,"Rakdos, Lord of Riots",0.13
Kaalia of the Vast,Angelic Skirmisher,0.13
"Yuriko, the Tiger's Shadow",Ingenious Infiltrator,0.77
"Yuriko, the Tiger's Shadow",Thousand-Faced Shadow,0.74
"Yuriko, the Tiger's Shadow",Prosperous Thief,0.72
"Yuriko, the Tiger's Shadow","Tetsuko Umezawa, Fugitive",0.71
"Yuriko, the Tiger's Shadow",Mistblade Shinobi,0.71
"Yuriko, the Tiger's Shadow",Changeling Outcast,0.7
"Yuriko, the Tiger's Shadow",Ornithopter,0.69
"Yuriko, the Tiger's Shadow",Ninja of the Deep Hours,0.68
"Yuriko, the Tiger's Shadow",Silver-Fur Master,0.65
"Yuriko, the Tiger's Shadow",Moon-Circuit Hacker,0.62
"Yuriko, the Tiger's Shadow",Faerie Seer,0.59
"Yuriko, the Tiger's Shadow",Shadow of Mortality,0.55
"Yuriko, the Tiger's Shadow",Fallen Shinobi,0.5
"Yuriko, the Tiger's Shadow",Slither Blade,0.47
"Yuriko, the Tiger's Shadow",Mist-Syndicate Naga,0.54
"Yuriko, the Tiger's Shadow",Sakashima's Student,0.5
"Yuriko, the Tiger's Shadow",Mothdust Changeling,0.49
"Yuriko, the Tiger's Shadow",Thassa's Oracle,0.21
"Yuriko, the Tiger's Shadow",Opposition Agent,0.14
"Yuriko, the Tiger's Shadow",Orcish Bowmasters,0.12
"Yuriko, the Tiger's Shadow",Skullsnatcher,0.48
"Yuriko, the Tiger's Shadow","Nashi, Moon Sage's Scion",0.43
"Yuriko, the Tiger's Shadow",Silent-Blade Oni,0.42
"Yuriko, the Tiger's Shadow",Triton Shorestalker,0.37
"Yuriko, the Tiger's Shadow",Gingerbrute,0.4
"Yuriko, the Tiger's Shadow","Satoru, the Infiltrator",0.39
"Yuriko, the Tiger's Shadow",Spectral Sailor,0.37
"Yuriko, the Tiger's Shadow",Wingcrafter,0.39
"Yuriko, the Tiger's Shadow","Higure, the Still Wind",0.38
"Yuriko, the Tiger's Shadow",Baleful Strix,0.2
"Yuriko, the Tiger's Shadow",Mist-Cloaked Herald,0.33
"Yuriko, the Tiger's Shadow",Throat Slitter,0.33
"Yuriko, the Tiger's Shadow",Tormented Soul,0.29
"Yuriko, the Tiger's Shadow","Ink-Eyes, Servant of Oni",0.29
"Yuriko, the Tiger's Shadow",Universal Automaton,0.3
"Yuriko, the Tiger's Shadow",Satoru Umezawa,0.29
"Yuriko, the Tiger's Shadow",Dauthi Voidwalker,0.19
"Yuriko, the Tiger's Shadow",Dokuchi Silencer,0.28
"Yuriko, the Tiger's Shadow",Mockingbird,0.26
"Yuriko, the Tiger's Shadow",Roaming Throne,0.17
"Yuriko, the Tiger's Shadow",Dimir Infiltrator,0.24
"Yuriko, the Tiger's Shadow",Memnite,0.26
"Yuriko, the Tiger's Shadow",Ingenious Prodigy,0.25
"Yuriko, the Tiger's Shadow",Phyrexian Walker,0.25
"Yuriko, the Tiger's Shadow",Siren Stormtamer,0.21
"Yuriko, the Tiger's Shadow",Moonsnare Specialist,0.22
"Yuriko, the Tiger's Shadow",Moonblade Shinobi,0.22
"Yuriko, the Tiger's Shadow",Walker of Secret Ways,0.21
"Yuriko, the Tiger's Shadow",Biting-Palm Ninja,0.19
"Yuriko, the Tiger's Shadow",Phantom Ninja,0.19
"Yuriko, the Tiger's Shadow",Street Wraith,0.17
"Yuriko, the Tiger's Shadow",Nezumi Prowler,0.17
"Yuriko, the Tiger's Shadow",Gudul Lurker,0.15
"Yuriko, the Tiger's Shadow",Invisible Stalker,0.1
"Yuriko, the Tiger's Shadow",Throatseeker,0.15
"Yuriko, the Tiger's Shadow",Hope of Ghirapur,0.15
"Yuriko, the Tiger's Shadow",Okiba-Gang Shinobi,0.15
"Yuriko, the Tiger's Shadow",Fourth Bridge Prowler,0.15
"Yuriko, the Tiger's Shadow",Draco,0.13
"Yuriko, the Tiger's Shadow",Covert Technician,0.13
"Yuriko, the Tiger's Shadow",Faerie Dreamthief,0.11
"Yuriko, the Tiger's Shadow",Orochi Soul-Reaver,0.11
"Yuriko, the Tiger's Shadow",Inkrise Infiltrator,0.11
"Yuriko, the Tiger's Shadow",Signal Pest,0.11
"Yuriko, the Tiger's Shadow",Azra Smokeshaper,0.11
"Yuriko, the Tiger's Shadow",Mausoleum Wanderer,0.11
"Lathril, Blade of the Elves",Elvish Archdruid,0.84
"Lathril, Blade of the Elves","Marwyn, the Nurturer",0.73
"Lathril, Blade of the Elves",Imperious Perfect,0.73
"Lathril, Blade of the Elves",Priest of Titania,0.68
"Lathril, Blade of the Elves",Beast Whisperer,0.64
"Lathril, Blade of the Elves",Elvish Warmaster,0.62
"Lathril, Blade of the Elves","Dwynen, Gilt-Leaf Daen",0.6
"Lathril, Blade of the Elves",Canopy Tactician,0.59
"Lathril, Blade of the Elves",Shaman of the Pack,0.58
"Lathril, Blade of the Elves",Elvish Mystic,0.57
"Lathril, Blade of the Elves",Llanowar Elves,0.5
"Lathril, Blade of the Elves",Reclamation Sage,0.54
"Lathril, Blade of the Elves",Lys Alana Huntmaster,0.58
"Lathril, Blade of the Elves",Fyndhorn Elves,0.44
"Lathril, Blade of the Elves",Leaf-Crowned Visionary,0.54
"Lathril, Blade of the Elves","Ezuri, Renegade Leader",0.54
"Lathril, Blade of the Elves",Skemfar Shadowsage,0.51
"Lathril, Blade of the Elves",Seedborn Muse,0.27
"Lathril, Blade of the Elves",Wolverine Riders,0.5
"Lathril, Blade of the Elves",Wirewood Channeler,0.49
"Lathril, Blade of the Elves",Poison-Tip Archer,0.36
"Lathril, Blade of the Elves",Timberwatch Elf,0.48
"Lathril, Blade of the Elves",Elvish Champion,0.46
"Lathril, Blade of the Elves",Immaculate Magistrate,0.45
"Lathril, Blade of the Elves",Abomination of Llanowar,0.44
"Lathril, Blade of the Elves",Ruthless Winnower,0.42
"Lathril, Blade of the Elves",Circle of Dreams Druid,0.39
"Lathril, Blade of the Elves",Elves of Deep Shadow,0.25
"Lathril, Blade of the Elves","Dionus, Elvish Archdruid",0.35
"Lathril, Blade of the Elves",Realmwalker,0.3
"Lathril, Blade of the Elves",Wood Elves,0.29
"Lathril, Blade of the Elves",Craterhoof Behemoth,0.28
"Lathril, Blade of the Elves","Miara, Thorn of the Glade",0.33
"Lathril, Blade of the Elves",Rhys the Exiled,0.33
"Lathril, Blade of the Elves",Llanowar Tribe,0.32
"Lathril, Blade of the Elves",Tyvar the Bellicose,0.31
"Lathril, Blade of the Elves",Arbor Elf,0.26
"Lathril, Blade of the Elves",Allosaurus Shepherd,0.28
"Lathril, Blade of the Elves",Elvish Harbinger,0.29
"Lathril, Blade of the Elves",Galadhrim Brigade,0.29
"Lathril, Blade of the Elves",Glissa Sunslayer,0.25
"Lathril, Blade of the Elves","Harald, King of Skemfar",0.29
"Lathril, Blade of the Elves",Joraga Warcaller,0.28
"Lathril, Blade of the Elves",Nullmage Shepherd,0.28
"Lathril, Blade of the Elves","Eladamri, Korvecdal",0.27
"Lathril, Blade of the Elves",Skemfar Avenger,0.27
"Lathril, Blade of the Elves",Copperhorn Scout,0.24
"Lathril, Blade of the Elves",Wellwisher,0.23
"Lathril, Blade of the Elves",Jagged-Scar Archers,0.23
"Lathril, Blade of the Elves",Deathrite Shaman,0.1
"Lathril, Blade of the Elves",Heritage Druid,0.21
"Lathril, Blade of the Elves",Wirewood Symbiote,0.21
"Lathril, Blade of the Elves",Farhaven Elf,0.18
"Lathril, Blade of the Elves",Elvish Visionary,0.17
"Lathril, Blade of the Elves",Golgari Findbroker,0.17
"Lathril, Blade of the Elves",Fauna Shaman,0.12
"Lathril, Blade of the Elves","Tyvar, the Pummeler",0.15
"Lathril, Blade of the Elves",Sylvan Messenger,0.16
"Lathril, Blade of the Elves",Quirion Ranger,0.14
"Lathril, Blade of the Elves",Elvish Dreadlord,0.13
"Lathril, Blade of the Elves",Lys Alana Scarblade,0.13
"Lathril, Blade of the Elves",Elderfang Ritualist,0.12
"Lathril, Blade of the Elves",Wardens of the Cycle,0.11
"Lathril, Blade of the Elves",Elfsworn Giant,0.12
"Miirym, Sentinel Wyrm","Ganax, Astral Hunter",0.69
"Miirym, Sentinel Wyrm",Dragonspeaker Shaman,0.63
"Miirym, Sentinel Wyrm",Thrakkus the Butcher,0.62
"Miirym, Sentinel Wyrm","Atarka, World Render",0.59
"Miirym, Sentinel Wyrm",Scourge of Valkas,0.59
"Miirym, Sentinel Wyrm",Dragonlord's Servant,0.57
"Miirym, Sentinel Wyrm","Lathliss, Dragon Queen",0.56
"Miirym, Sentinel Wyrm","Korlessa, Scale Singer",0.55
"Miirym, Sentinel Wyrm",Savage Ventmaw,0.51
"Miirym, Sentinel Wyrm",Wrathful Red Dragon,0.49
"Miirym, Sentinel Wyrm",Earthquake Dragon,0.48
"Miirym, Sentinel Wyrm","Lozhan, Dragons' Legacy",0.47
"Miirym, Sentinel Wyrm",Terror of the Peaks,0.41
"Miirym, Sentinel Wyrm",Scaled Nurturer,0.46
"Miirym, Sentinel Wyrm",Goldspan Dragon,0.41
"Miirym, Sentinel Wyrm",Old Gnawbone,0.4
"Miirym, Sentinel Wyrm","Drakuseth, Maw of Flames",0.4
"Miirym, Sentinel Wyrm",Astral Dragon,0.4
"Miirym, Sentinel Wyrm",Utvara Hellkite,0.39
"Miirym, Sentinel Wyrm","Sarkhan, Soul Aflame",0.36
"Miirym, Sentinel Wyrm",Ureni of the Unwritten,0.36
"Miirym, Sentinel Wyrm",Roaming Throne,0.31
"Miirym, Sentinel Wyrm",Ancient Silver Dragon,0.34
"Miirym, Sentinel Wyrm",Ancient Copper Dragon,0.33
"Miirym, Sentinel Wyrm",Thunderbreak Regent,0.31
"Miirym, Sentinel Wyrm","Klauth, Unrivaled Ancient",0.31
"Miirym, Sentinel Wyrm",Twinflame Tyrant,0.28
"Miirym, Sentinel Wyrm",Draconic Muralists,0.31
"Miirym, Sentinel Wyrm",Dragonborn Champion,0.29
"Miirym, Sentinel Wyrm","Iymrith, Desert Doom",0.27
"Miirym, Sentinel Wyrm",Balefire Dragon,0.25
"Miirym, Sentinel Wyrm","Renari, Merchant of Marvels",0.27
"Miirym, Sentinel Wyrm",Deceptive Frostkite,0.13
"Miirym, Sentinel Wyrm",Spark Double,0.2
"Miirym, Sentinel Wyrm",Hellkite Charger,0.22
"Miirym, Sentinel Wyrm","Firkraag, Cunning Instigator",0.21
"Miirym, Sentinel Wyrm",Goblin Anarchomancer,0.13
"Miirym, Sentinel Wyrm",Broodcaller Scourge,0.1
"Miirym, Sentinel Wyrm",Hellkite Tyrant,0.19
"Miirym, Sentinel Wyrm",Steel Hellkite,0.18
"Miirym, Sentinel Wyrm",Scourge of the Throne,0.16
"Miirym, Sentinel Wyrm",Rapacious Dragon,0.18
"Miirym, Sentinel Wyrm","Adrix and Nev, Twincasters",0.12
"Miirym, Sentinel Wyrm",Dragonmaster Outcast,0.16
"Miirym, Sentinel Wyrm",Ancient Bronze Dragon,0.17
"Miirym, Sentinel Wyrm","Keiga, the Tide Star",0.16
"Miirym, Sentinel Wyrm",Cavern-Hoard Dragon,0.16
"Miirym, Sentinel Wyrm","Atsushi, the Blazing Sky",0.15
"Miirym, Sentinel Wyrm",Minion of the Mighty,0.16
"Miirym, Sentinel Wyrm","Niv-Mizzet, Parun",0.13
"Miirym, Sentinel Wyrm","Dragonhawk, Fate's Tempest",0.13
"Miirym, Sentinel Wyrm",Patron of the Arts,0.15
"Miirym, Sentinel Wyrm",Reckless Barbarian,0.15
